disease,description
covid-19,"COVID-19 là một bệnh truyền nhiễm do coronavirus gây ra, chủ yếu là coronavirus gây viêm phổi cấp tính nặng 2 (SARS-CoV-2), COVID-19 có thể lây lan từ người sang người thông qua tiếp xúc gần, hơi thở hoặc các giọt nhỏ từ đường hô hấp của người mắc bệnh, đặc biệt là trong khi ho, hắt hơi hoặc nói chuyện. Cũng có thể lây qua tiếp xúc với bề mặt hoặc vật dụng nhiễm virus, sau đó chạm vào mắt, mũi hoặc miệng
COVID-19 có thể gây bệnh nhẹ đến nặng và gây tử vong ở một số trường hợp, đặc biệt là ở những người có tình trạng sức khỏe yếu và người cao tuổi. Để ngăn chặn sự lây lan của COVID-19, các biện pháp phòng ngừa như giữ khoảng cách xã hội, đeo khẩu trang, rửa tay thường xuyên và tiêm vắc-xin là rất quan trọng"
sốt rét,"Sốt rét (malaria) là một bệnh truyền nhiễm do ký sinh trùng Plasmodium gây ra và được truyền từ người sang người qua côn trùng muỗi Anopheles. Sốt rét phổ biến ở các khu vực nhiệt đới và châu Phi, trong đó hầu hết các ca tử vong được ghi nhận là ở trẻ em dưới 5 tuổi.
Các triệu chứng của sốt rét thường bắt đầu từ 7 đến 30 ngày sau khi bị nhiễm ký sinh trùng. Triệu chứng bao gồm cảm giác mệt mỏi, sốt cao, đau đầu, nôn mửa và đau cơ. Trong một số trường hợp, bệnh có thể gây ra những biến chứng nghiêm trọng như viêm não, suy nhược, suy hô hấp và suy thận."
viêm tai giữa,"Viêm tai giữa (otitis media) là một tình trạng viêm nhiễm trong phần tai giữa, bao gồm các phần tai giữa của lòng tai, ống tai Eustachian và màng nhĩ. Đây là một trong những vấn đề tai thường gặp ở trẻ em, nhưng cũng có thể xảy ra ở người lớn.
Nguyên nhân chính của viêm tai giữa là do nhiễm trùng vi khuẩn hoặc virus, thường xuất phát từ viêm mũi xoang, cảm lạnh hoặc nhiễm trùng hệ hô hấp trên. Các yếu tố khác bao gồm việc tiếp xúc với hút thuốc, tiếp xúc với môi trường ô nhiễm, và vấn đề về cấu trúc và chức năng của hệ thống ống tai Eustachian."
suy giáp,"Suy giáp (hypothyroidism) là tình trạng thiếu hoạt động của tuyến giáp, một tuyến nội tiết nằm ở cổ gần cuống giáp. Tuyến giáp sản xuất các hormone giáp, bao gồm thyroxin (T4) và triiodothyronine (T3), giúp điều chỉnh quá trình trao đổi chất của cơ thể.
Khi tuyến giáp không sản xuất đủ lượng hormone giáp, cơ thể không thể điều chỉnh quá trình trao đổi chất một cách hiệu quả, dẫn đến suy giáp. Các triệu chứng của suy giáp có thể bao gồm mệt mỏi, chán ăn, tăng cân, rụng tóc, khô da, bất thường kinh nguyệt, táo bón, và trầm cảm. Suy giáp có nhiều nguyên nhân, bao gồm viêm tuyến giáp do vi khuẩn hoặc virus, phẫu thuật để loại bỏ tuyến giáp, thuốc độc hoặc xạ trị cho ung thư, và các vấn đề di truyền"
vẩy nến,"Vẩy nến (psoriasis) là một bệnh lý da liên quan đến quá trình sản xuất tế bào da, khiến da trở nên đỏ, sần sùi và bong tróc. Vẩy nến thường xuất hiện ở khu vực trán, khuỷu tay, khuỷu chân, khớp và dưới cánh tay, nhưng cũng có thể xuất hiện ở bất kỳ vị trí nào trên cơ thể.
Tế bào da bình thường thường được sản xuất và thay thế sau khoảng 28 ngày. Tuy nhiên, ở người bị vẩy nến, quá trình này diễn ra nhanh hơn, chỉ mất khoảng 3-4 ngày. Kết quả là các tế bào da tích tụ lên trên bề mặt da, hình thành các vảy dày và đỏ.
Nguyên nhân của vẩy nến vẫn chưa rõ ràng, tuy nhiên, các yếu tố di truyền và hệ miễn dịch được cho là góp phần vào sự phát triển của bệnh. Những yếu tố khác bao gồm stress, tiếp xúc với hóa chất, cúm và các bệnh nhiễm trùng."
trào ngược dạ dày,"Trào ngược dạ dày, hay còn được gọi là bệnh trào ngược axit dạ dày (gastroesophageal reflux disease - GERD), là một tình trạng khi nội dung của dạ dày (bao gồm axit dạ dày) trào ngược lên thực quản, gây ra các triệu chứng không thoải mái và có thể gây tổn thương thực quản.
Khi chúng ta ăn, thức ăn đi qua thực quản và vào dạ dày. Thực quản có một cơ chiếc gọi là phần giữa thực quản (lower esophageal sphincter - LES) ở phía dưới nơi nó gặp giao cắt với dạ dày. Cơ chiếc này thông thường giữ chặt để ngăn ngừa sự trào ngược của nội dung dạ dày lên thực quản. Tuy nhiên, trong trường hợp trào ngược dạ dày, LES không hoạt động đúng cách, cho phép axit và các chất khác từ dạ dày quay trở lại thực quản."
ứ mật mãn tính,"Ứ mật mãn tính là một tình trạng mà sự thông khí của đường mật bị gián đoạn, dẫn đến sự tăng đáng kể của chất bã nhờn (mật) trong máu. Điều này có thể gây ra nhiều triệu chứng khác nhau và có thể dẫn đến các vấn đề về gan và các vấn đề sức khỏe khác.
Các triệu chứng của ứ mật có thể bao gồm da và mắt vàng, ngứa, nổi mẩn, giảm cân không giải thích được, mệt mỏi và đau bụng. Ứ mật có thể được phân loại thành hai loại chính: ứ mật cơ bản (intrahepatic cholestasis) và ứ mật ngoại biên (extrahepatic cholestasis).
Các nguyên nhân của ứ mật có thể là do nhiều yếu tố khác nhau, bao gồm nhiễm trùng, viêm gan, các bệnh gan tổng hợp, sử dụng thuốc, chấn thương hoặc các vấn đề về sức khỏe khác. "
viêm gan A hoặc viêm gan D,"Viêm gan A và viêm gan D là hai loại viêm gan được gây bởi các virus khác nhau, virus viêm gan A (Hepatitis A virus - HAV) và virus viêm gan D (Hepatitis D virus - HDV).
Viêm gan A (HAV) là một bệnh viêm nhiễm cấp tính do virus viêm gan A chủ yếu lây qua đường tiêu hóa, thông qua tiếp xúc với nước hoặc thực phẩm bị nhiễm virus viêm gan A từ người bị bệnh, hầu hết trường hợp tự phục hồi mà không gây hậu quả nặng, và có vắc-xin để ngăn ngừa viêm gan A.
Viêm gan D (HDV) là một bệnh viêm nhiễm cấp tính hoặc mạn tính do virus viêm gan D, virus viêm gan D chỉ có thể tồn tại và gây nhiễm trong cơ thể người cùng lúc với virus viêm gan B (HBV), phương pháp lây truyền chính là qua tiếp xúc với máu hoặc chất cơ thể nhiễm virus. Viêm gan D có thể làm tăng nguy cơ nặng hơn và gây ra tổn thương gan nặng hơn so với viêm gan B đơn thuần.
Hiện chưa có vắc-xin độc lập cho viêm gan D, nhưng việc tiêm phòng viêm gan B cũng giúp ngăn ngừa viêm gan D"
viêm da dị ứng,"Viêm da dị ứng, còn được gọi là viêm da tiếp xúc, là một phản ứng viêm nhiễm trên da do tiếp xúc với một chất gây dị ứng. Đây là một dạng phổ biến của dị ứng da và có thể xảy ra khi da tiếp xúc với các chất như hóa chất, thuốc, mỹ phẩm, kim loại, chất tẩy rửa, thuốc nhuộm và nhiều chất khác."
chóng mặt kịch phát lành tính,"Chóng mặt lành tính là một cảm giác chóng mặt, mất thăng bằng, hoảng loạn và có thể kèm theo buồn nôn nhưng không đe dọa đến tính mạng. Đây là một triệu chứng phổ biến và thường không nghiêm trọng. Chóng mặt lành tính có thể do nhiều nguyên nhân khác nhau như sụp hơi, vận động quá mức, căng thẳng tâm lý, thiếu máu, thiếu nước, tiền mãn kinh, rối loạn tai biến, viêm xoang và nhiễm trùng đường tiêu hóa. Trong nhiều trường hợp, nguyên nhân không rõ ràng."
