disease,symptom_1,symptom_2,symptom_3,symptom_4
nấm da,ngứa,phát ban,nổi hạch,lang ben
nấm da,ngứa,phát ban,lang ben,nổi hạch
trào ngược dạ dày,ợ chua,buồn nôn,đau ngực,ho
trào ngược dạ dày,ợ chua,buồn nôn,ho,đau ngực
trào ngược dạ dày,ợ chua,đau ngực,buồn nôn,ho
trào ngược dạ dày,ợ chua,đau ngực,ho,buồn nôn
trào ngược dạ dày,ợ chua,ho,buồn nôn,đau ngực
trào ngược dạ dày,ợ chua,ho,đau ngực,buồn nôn
trào ngược dạ dày,buồn nôn,ợ chua,đau ngực,ho
trào ngược dạ dày,buồn nôn,ợ chua,ho,đau ngực
trào ngược dạ dày,buồn nôn,đau ngực,ợ chua,ho
trào ngược dạ dày,buồn nôn,đau ngực,ho,ợ chua
viêm mũi dị ứng,sổ mũi,hắt hơi,nghẹt mũi,chảy nước mắt
viêm mũi dị ứng,sổ mũi,hắt hơi,chảy nước mắt,nghẹt mũi
viêm mũi dị ứng,sổ mũi,nghẹt mũi,hắt hơi,chảy nước mắt
viêm mũi dị ứng,sổ mũi,nghẹt mũi,chảy nước mắt,hắt hơi
viêm mũi dị ứng,sổ mũi,chảy nước mắt,hắt hơi,nghẹt mũi
viêm mũi dị ứng,sổ mũi,chảy nước mắt,nghẹt mũi,hắt hơi
viêm mũi dị ứng,hắt hơi,sổ mũi,nghẹt mũi,chảy nước mắt
viêm mũi dị ứng,hắt hơi,sổ mũi,chảy nước mắt,nghẹt mũi
viêm mũi dị ứng,hắt hơi,nghẹt mũi,sổ mũi,chảy nước mắt
viêm mũi dị ứng,hắt hơi,nghẹt mũi,chảy nước mắt,sổ mũi
viêm mũi dị ứng,hắt hơi,chảy nước mắt,sổ mũi,nghẹt mũi
viêm mũi dị ứng,hắt hơi,chảy nước mắt,nghẹt mũi,sổ mũi
viêm mũi dị ứng,nghẹt mũi,sổ mũi,hắt hơi,chảy nước mắt
viêm loét dạ dày tá tràng,đau bụng,buồn nôn,khó tiêu,chán ăn
viêm loét dạ dày tá tràng,đau bụng,buồn nôn,chán ăn,khó tiêu
viêm loét dạ dày tá tràng,đau bụng,khó tiêu,buồn nôn,chán ăn
viêm loét dạ dày tá tràng,đau bụng,khó tiêu,chán ăn,buồn nôn
viêm loét dạ dày tá tràng,đau bụng,chán ăn,buồn nôn,khó tiêu
viêm loét dạ dày tá tràng,đau bụng,chán ăn,khó tiêu,buồn nôn
viêm loét dạ dày tá tràng,buồn nôn,đau bụng,khó tiêu,chán ăn
viêm loét dạ dày tá tràng,buồn nôn,đau bụng,chán ăn,khó tiêu
viêm loét dạ dày tá tràng,buồn nôn,khó tiêu,đau bụng,chán ăn
viêm loét dạ dày tá tràng,buồn nôn,khó tiêu,chán ăn,đau bụng
viêm loét dạ dày tá tràng,buồn nôn,chán ăn,đau bụng,khó tiêu
tiểu đường,khô miệng,sút cân,đi tiểu nhiều,giảm thị lực
tiểu đường,khô miệng,sút cân,giảm thị lực,đi tiểu nhiều
tiểu đường,khô miệng,giảm thị lực,đi tiểu nhiều,sút cân
tiểu đường,khô miệng,giảm thị lực,sút cân,đi tiểu nhiều
tiểu đường,giảm thị lực,đi tiểu nhiều,sút cân,khô miệng
tiểu đường,giảm thị lực,đi tiểu nhiều,khô miệng,sút cân
tiểu đường,giảm thị lực,sút cân,đi tiểu nhiều,khô miệng
tiểu đường,giảm thị lực,sút cân,khô miệng,đi tiểu nhiều
tiểu đường,giảm thị lực,khô miệng,đi tiểu nhiều,sút cân
tiểu đường,giảm thị lực,khô miệng,sút cân,đi tiểu nhiều
viêm dạ dày,trương bụng,buồn nôn,tiêu chảy,mất ngủ
viêm dạ dày,trương bụng,buồn nôn,mất ngủ,tiêu chảy
viêm dạ dày,trương bụng,tiêu chảy,buồn nôn,mất ngủ
viêm dạ dày,trương bụng,tiêu chảy,mất ngủ,buồn nôn
viêm dạ dày,trương bụng,mất ngủ,buồn nôn,tiêu chảy
viêm dạ dày,trương bụng,mất ngủ,tiêu chảy,buồn nôn
viêm dạ dày,buồn nôn,trương bụng,tiêu chảy,mất ngủ
viêm dạ dày,buồn nôn,trương bụng,mất ngủ,tiêu chảy
viêm dạ dày,buồn nôn,tiêu chảy,trương bụng,mất ngủ
viêm dạ dày,buồn nôn,tiêu chảy,mất ngủ,trương bụng
hen phế quản,khó thở,ho có đờm,thở khò khè,đau ngực
hen phế quản,khó thở,ho có đờm,đau ngực,thở khò khè
hen phế quản,khó thở,thở khò khè,ho có đờm,đau ngực
hen phế quản,khó thở,thở khò khè,đau ngực,ho có đờm
hen phế quản,khó thở,đau ngực,ho có đờm,thở khò khè
hen phế quản,khó thở,đau ngực,thở khò khè,ho có đờm
hen phế quản,ho có đờm,khó thở,thở khò khè,đau ngực
hen phế quản,ho có đờm,khó thở,đau ngực,thở khò khè
hen phế quản,ho có đờm,thở khò khè,khó thở,đau ngực
hen phế quản,ho có đờm,thở khò khè,đau ngực,khó thở
cao huyết áp,mất thăng bằng,chảy máu cam,khó thở,thiếu tập trung
cao huyết áp,mất thăng bằng,chảy máu cam,thiếu tập trung,khó thở
cao huyết áp,mất thăng bằng,thiếu tập trung,khó thở,chảy máu cam
cao huyết áp,mất thăng bằng,thiếu tập trung,chảy máu cam,khó thở
cao huyết áp,thiếu tập trung,khó thở,chảy máu cam,mất thăng bằng
cao huyết áp,thiếu tập trung,khó thở,mất thăng bằng,chảy máu cam
cao huyết áp,thiếu tập trung,chảy máu cam,khó thở,mất thăng bằng
cao huyết áp,thiếu tập trung,chảy máu cam,mất thăng bằng,khó thở
cao huyết áp,thiếu tập trung,mất thăng bằng,khó thở,chảy máu cam
cao huyết áp,thiếu tập trung,mất thăng bằng,chảy máu cam,khó thở
sốt rét,mệt mỏi,đau đầu,ớn lạnh,đau cơ
sốt rét,mệt mỏi,đau đầu,đau cơ,ớn lạnh
sốt rét,mệt mỏi,ớn lạnh,đau đầu,đau cơ
sốt rét,mệt mỏi,ớn lạnh,đau cơ,đau đầu
sốt rét,mệt mỏi,đau cơ,đau đầu,ớn lạnh
sốt rét,mệt mỏi,đau cơ,ớn lạnh,đau đầu
sốt rét,đau đầu,mệt mỏi,ớn lạnh,đau cơ
sốt rét,đau đầu,mệt mỏi,đau cơ,ớn lạnh
sốt rét,đau đầu,ớn lạnh,mệt mỏi,đau cơ
sốt rét,đau đầu,ớn lạnh,đau cơ,mệt mỏi
sốt rét,đau đầu,đau cơ,mệt mỏi,ớn lạnh
sốt rét,đau đầu,đau cơ,ớn lạnh,mệt mỏi
sốt rét,ớn lạnh,mệt mỏi,đau đầu,đau cơ
sốt rét,ớn lạnh,mệt mỏi,đau cơ,đau đầu
sốt rét,ớn lạnh,đau đầu,mệt mỏi,đau cơ
sốt rét,ớn lạnh,đau đầu,đau cơ,mệt mỏi
sốt rét,ớn lạnh,đau cơ,mệt mỏi,đau đầu
sốt rét,ớn lạnh,đau cơ,đau đầu,mệt mỏi
sốt rét,đau cơ,mệt mỏi,đau đầu,ớn lạnh
sốt rét,đau cơ,mệt mỏi,ớn lạnh,đau đầu
sốt rét,đau cơ,đau đầu,mệt mỏi,ớn lạnh
sốt rét,đau cơ,đau đầu,ớn lạnh,mệt mỏi
sốt rét,đau cơ,ớn lạnh,mệt mỏi,đau đầu
sốt rét,đau cơ,ớn lạnh,đau đầu,mệt mỏi
thủy đậu,đau đầu,mệt mỏi,sưng hạch bạch huyết,nổi mụt trên cơ thể
thủy đậu,đau đầu,mệt mỏi,nổi mụt trên cơ thể,sưng hạch bạch huyết
thủy đậu,đau đầu,sưng hạch bạch huyết,mệt mỏi,nổi mụt trên cơ thể
thủy đậu,đau đầu,sưng hạch bạch huyết,nổi mụt trên cơ thể,mệt mỏi
thủy đậu,đau đầu,nổi mụt trên cơ thể,mệt mỏi,sưng hạch bạch huyết
thủy đậu,đau đầu,nổi mụt trên cơ thể,sưng hạch bạch huyết,mệt mỏi
thủy đậu,mệt mỏi,đau đầu,sưng hạch bạch huyết,nổi mụt trên cơ thể
thủy đậu,mệt mỏi,đau đầu,nổi mụt trên cơ thể,sưng hạch bạch huyết
thủy đậu,mệt mỏi,sưng hạch bạch huyết,đau đầu,nổi mụt trên cơ thể
thủy đậu,mệt mỏi,sưng hạch bạch huyết,nổi mụt trên cơ thể,đau đầu
thủy đậu,mệt mỏi,nổi mụt trên cơ thể,đau đầu,sưng hạch bạch huyết
thủy đậu,mệt mỏi,nổi mụt trên cơ thể,sưng hạch bạch huyết,đau đầu
thủy đậu,sưng hạch bạch huyết,đau đầu,mệt mỏi,nổi mụt trên cơ thể
thủy đậu,sưng hạch bạch huyết,đau đầu,nổi mụt trên cơ thể,mệt mỏi
thủy đậu,sưng hạch bạch huyết,mệt mỏi,đau đầu,nổi mụt trên cơ thể
thủy đậu,sưng hạch bạch huyết,mệt mỏi,nổi mụt trên cơ thể,đau đầu
thủy đậu,sưng hạch bạch huyết,nổi mụt trên cơ thể,đau đầu,mệt mỏi
thủy đậu,sưng hạch bạch huyết,nổi mụt trên cơ thể,mệt mỏi,đau đầu
thủy đậu,nổi mụt trên cơ thể,đau đầu,mệt mỏi,sưng hạch bạch huyết
thủy đậu,nổi mụt trên cơ thể,đau đầu,sưng hạch bạch huyết,mệt mỏi
thủy đậu,nổi mụt trên cơ thể,mệt mỏi,đau đầu,sưng hạch bạch huyết
thủy đậu,nổi mụt trên cơ thể,mệt mỏi,sưng hạch bạch huyết,đau đầu
thủy đậu,nổi mụt trên cơ thể,sưng hạch bạch huyết,đau đầu,mệt mỏi
thủy đậu,nổi mụt trên cơ thể,sưng hạch bạch huyết,mệt mỏi,đau đầu
thủy đậu,đau đầu,chán ăn,sưng hạch bạch huyết,nổi mụt trên cơ thể
thủy đậu,đau đầu,chán ăn,nổi mụt trên cơ thể,sưng hạch bạch huyết
thủy đậu,đau đầu,sưng hạch bạch huyết,chán ăn,nổi mụt trên cơ thể
thủy đậu,đau đầu,sưng hạch bạch huyết,nổi mụt trên cơ thể,chán ăn
thủy đậu,đau đầu,nổi mụt trên cơ thể,chán ăn,sưng hạch bạch huyết
thủy đậu,đau đầu,nổi mụt trên cơ thể,sưng hạch bạch huyết,chán ăn
thủy đậu,chán ăn,đau đầu,sưng hạch bạch huyết,nổi mụt trên cơ thể
thủy đậu,chán ăn,đau đầu,nổi mụt trên cơ thể,sưng hạch bạch huyết
thủy đậu,chán ăn,sưng hạch bạch huyết,đau đầu,nổi mụt trên cơ thể
thủy đậu,chán ăn,sưng hạch bạch huyết,nổi mụt trên cơ thể,đau đầu
thủy đậu,chán ăn,nổi mụt trên cơ thể,đau đầu,sưng hạch bạch huyết
